commentId,commentText,publishedAt
UgxznsPlgiKz0ZzfAB54AaABAg,"When Pakistani's stop Islamic terrorism against India, we'll give you water",2024-02-29T16:07:52Z
UgyVPGcpmMkB49DxwmN4AaABAg,whats water terrorism....its ours not paks and we get to control it,2024-02-29T16:00:52Z
UgzR4GCKV1RnoNKFaft4AaABAg,Blood and water can't flow together.,2024-02-29T15:55:34Z
Ugy2ZSJOeOGYt3yl_Dh4AaABAg,"Water is for people. Those who deny water and food to fellow men are the most inhuman and treacherous. 
They are not human beings !?!",2024-02-29T15:53:16Z
UgybCGBhVJp6YMz4BD54AaABAg,"I bet if Pak had these rivers, they'd have built dams decades ago by now. If any country has to offer any advices to India, first they should sacrifice something from their country and give it to their neighbouring countries so as to talk",2024-02-29T15:53:15Z
UgyYHMbpzhm2FvKeKUp4AaABAg,Pakistan still thinks it matters..😅,2024-02-29T15:42:51Z
Ugx43XnhAUeO2ajEVwF4AaABAg,Lol they have mistaken it should be No water for Terrorists 😂😂,2024-02-29T15:12:33Z
UgwrBXB39knjRDoGXK54AaABAg,indus treaty? as if PK never breaks any treaty. Hypocracy ki bhi seema hoti h,2024-02-29T15:08:31Z
Ugw9q7-DdISl5ZObxTd4AaABAg,i am not from pk.but what if china starts building dam what i know many of indian rivers starting point is china wont you call out china about this matter,2024-02-29T15:00:49Z
UgxwHZ3yxC7wrw03YJF4AaABAg,Now China is gonna retaliate for their friend by doing the same..hahahah😅😅,2024-02-29T14:42:49Z
Ugz2rlawqUHbPPeV27V4AaABAg,"""Free flow of water from India &  paid islamic terrorism from Pakistan cannot flow together ""---- india.",2024-02-29T14:32:26Z
UgzEs0xzykpLErusQst4AaABAg,"water and blood can't flow together.
stop terrorism and then we will think about it.",2024-02-29T14:13:20Z
UgyWoLBRlnO_m-lqczl4AaABAg,Kashmir was never dispute for territory it was a dispute for water it is returned in some of the classified documents of Pakistan army....,2024-02-29T14:10:10Z
UgwOHFPVje2fBfniQgp4AaABAg,if pak even think to escalate the conflict; its the doom for pak,2024-02-29T13:22:17Z
